gap_ticker,ticker,name,category,isdelisted,exchange,location,currency,permaticker,cusips,siccode,sicsector,sicindustry,famaindustry,sector,industry,relatedtickers,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,lastupdated,secfilings,companysite,table,figi,scalemarketcap,scalerevenue
LMLP1,LMLP1,LML PAYMENT SYSTEMS INC,Domestic Common Stock,Y,NASDAQ,British Columbia; Canada,USD,186444,50208P109,7389,Services,Services-Business Services Nec,Business Services,Technology,Software - Application,LMLP,2016-01-15,1986-01-01,2013-01-10,1999-03-31,2012-09-30,2013-01-15,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000781891,,SF2,,3 - Small,2 - Micro
,SPCB,SUPERCOM LTD,ADR Common Stock,N,NASDAQ,Israel,USD,189648,M87095119 M87095309 M87095200 M9763P108 M87095101 M8708Y109,3674,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Industrials,Security & Protection Services,VUNCF VUNC SPCBF,2016-02-17,2005-02-17,2026-08-03,2002-12-31,2025-12-31,2026-04-29,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001291855,http://www.supercom.com,SF1,BBG000BZVRW0,2 - Micro,1 - Nano
,SPCB,SUPERCOM LTD,ADR Common Stock,N,NASDAQ,Israel,USD,189648,M87095119 M87095309 M87095200 M9763P108 M87095101 M8708Y109,3674,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Industrials,Security & Protection Services,VUNCF VUNC SPCBF,2016-02-17,2005-02-17,2026-08-03,2002-12-31,2025-12-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001291855,http://www.supercom.com,SEP,BBG000BZVRW0,2 - Micro,1 - Nano
,SPCB,SUPERCOM LTD,ADR Common Stock,N,NASDAQ,Israel,USD,189648,M87095119 M87095309 M87095200 M9763P108 M87095101 M8708Y109,3674,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Industrials,Security & Protection Services,VUNCF VUNC SPCBF,2016-02-17,2005-02-17,2026-08-03,2002-12-31,2025-12-31,2026-04-20,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001291855,http://www.supercom.com,SF2,BBG000BZVRW0,2 - Micro,1 - Nano
,AGN,ALLERGAN PLC,Domestic Common Stock Primary Class,Y,NYSE,Ireland,USD,191420,G0177J108 G0083B108 00507K103 942683103,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Drug Manufacturers - General,WPI ACT AGN-PA,2014-09-28,1989-06-22,2020-05-08,1996-12-31,2020-03-31,2020-05-07,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001578845,,SF1,,5 - Large,5 - Large
,AGN,ALLERGAN PLC,Domestic Common Stock Primary Class,Y,NYSE,Ireland,USD,191420,G0177J108 G0083B108 00507K103 942683103,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Drug Manufacturers - General,WPI ACT AGN-PA,2014-09-28,1989-06-22,2020-05-08,1996-12-31,2020-03-31,2024-02-05,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001578845,,SEP,,5 - Large,5 - Large
,AGN,ALLERGAN PLC,Domestic Common Stock Primary Class,Y,NYSE,Ireland,USD,191420,G0177J108 G0083B108 00507K103 942683103,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Drug Manufacturers - General,WPI ACT AGN-PA,2014-09-28,1989-06-22,2020-05-08,1996-12-31,2020-03-31,2020-05-12,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001578845,,SF2,,5 - Large,5 - Large
SHLDQ,SHLDQ,SEARS HOLDINGS CORP,Domestic Common Stock Primary Class,Y,NASDAQ,Illinois; U.S.A,USD,194967,812350106 498780105,5311,Retail Trade,Retail-Department Stores,Retail,Consumer Cyclical,Department Stores,KMRT SHLD,2014-10-08,2003-05-02,2018-10-23,2002-03-31,2018-09-30,2021-08-25,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001310067,,SF1,BBG00K87TSV4,5 - Large,5 - Large
SHLDQ,SHLDQ,SEARS HOLDINGS CORP,Domestic Common Stock Primary Class,Y,NASDAQ,Illinois; U.S.A,USD,194967,812350106 498780105,5311,Retail Trade,Retail-Department Stores,Retail,Consumer Cyclical,Department Stores,KMRT SHLD,2014-10-08,2003-05-02,2018-10-23,2002-03-31,2018-09-30,2020-10-19,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001310067,,SEP,BBG00K87TSV4,5 - Large,5 - Large
SHLDQ,SHLDQ,SEARS HOLDINGS CORP,Domestic Common Stock Primary Class,Y,NASDAQ,Illinois; U.S.A,USD,194967,812350106 498780105,5311,Retail Trade,Retail-Department Stores,Retail,Consumer Cyclical,Department Stores,KMRT SHLD,2014-10-08,2003-05-02,2018-10-23,2002-03-31,2018-09-30,2019-05-14,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001310067,,SF2,BBG00K87TSV4,5 - Large,5 - Large
