date,nav,shadow_nav,shadow_dd,regular_systemic,emergency,allocation,damaged_breadth,green_breadth,r5,r10,r20,db5
2018-06-01,35.91621260446561,31.738300909195328,0.0,False,False,1.0,0.3333333333333333,0.5833333333333334,0.0007645411270698066,0.018604414129288482,0.052111913456652115,0.04166666666666663
2018-06-04,35.99350806329365,31.806605063595324,0.0,False,False,1.0,0.3333333333333333,0.5416666666666666,0.00693751239278817,0.0238682839842137,0.044944000782421556,0.08333333333333331
2018-06-05,36.55353439020009,32.30148697879532,0.0,False,False,1.0,0.2916666666666667,0.5416666666666666,0.03009584416747635,0.029092600492035325,0.047555611922383,-0.08333333333333331
2018-06-06,36.88240582159677,32.59210282309533,0.0,False,False,1.0,0.2916666666666667,0.5416666666666666,0.03191192241513119,0.04313530253384834,0.05628502841620486,0.0833333333333334
2018-06-07,36.753888372582075,32.47853501699532,-0.0034845191400025,False,False,1.0,0.2916666666666667,0.5416666666666666,0.03422951622543624,0.02812134802457744,0.04436314156545573,-0.04166666666666663
2018-06-08,37.08485549443589,32.77100277299532,0.0,False,False,1.0,0.3333333333333333,0.625,0.03253803241561659,0.03332745020666206,0.03693200448851419,0.0
2018-06-11,36.988476722031606,32.68583514929532,-0.0025988714562673,False,False,1.0,0.3333333333333333,0.625,0.027643003204586902,0.03477228927468068,0.04867617956496795,0.0
2018-06-12,37.220792839314804,32.89112736419532,0.0,False,False,1.0,0.3333333333333333,0.625,0.018254279927951256,0.048899502059528865,0.04882941666625884,0.04166666666666663
2018-06-13,36.58514289951604,32.32941866499532,-0.0170778183727281,False,False,1.0,0.375,0.5833333333333334,-0.008059748692062496,0.023594971648122298,0.038335881007769856,0.08333333333333331
2018-06-14,36.71442762824374,32.443664497887326,-0.0136043639171545,False,False,1.0,0.36,0.56,-0.0010736481522257701,0.033119117616363436,0.040943572594854594,0.0683333333333333
2018-06-15,36.40886069297894,32.17364228128732,-0.0218139401232272,False,False,1.0,0.32,0.6,-0.018228325078909258,0.013716593504407237,0.032576196819694925,-0.013333333333333308
2018-06-18,36.64284351177936,32.380407320587324,-0.0155275931394177,False,False,1.0,0.32,0.6,-0.009344348318252593,0.018040349035828296,0.04233922519400335,-0.013333333333333308
2018-06-19,36.42741998744062,32.190042687387326,-0.0213153130643731,False,False,1.0,0.36,0.52,-0.021315313064373176,-0.0034501288278508957,0.0255420984445498,0.026666666666666672
2018-06-20,36.36490454561553,32.13479928168732,-0.0229948968952437,False,False,1.0,0.32,0.44,-0.006019885025607574,-0.014031114957208435,0.02849895118807355,-0.05499999999999999
2018-06-21,36.017752556822394,31.82802934458732,-0.0323217263986295,False,False,1.0,0.36,0.48,-0.018975512255716143,-0.020028787384271052,0.007529324139762927,0.0
2018-06-22,35.80867544776669,31.643272887287324,-0.0379389390667826,False,False,1.0,0.4,0.4,-0.016484592865274372,-0.034412431426641854,-0.0022318598148414193,0.08000000000000002
2018-06-25,34.94052485385212,30.87610890238733,-0.0612632835444096,False,False,1.0,0.52,0.28,-0.04645705667956712,-0.05536729407836494,-0.02252025236973343,0.2
2018-06-26,35.19076255653091,31.09723799508732,-0.0545402214173053,False,False,1.0,0.36,0.36,-0.033948531939294035,-0.0545402214173053,-0.00830770902729916,0.0
2018-06-27,34.53582024648114,30.51848108818732,-0.072136362178659,False,False,1.0,0.6,0.28,-0.05029806408098825,-0.05601516054381761,-0.03374186502059173,0.27999999999999997
