security_id,ticker,priority,current_truth,vendor_category,cusips,base_disposition,held_sessions,pending_sessions,durable_ranked_sessions,recent_leadership_sessions,eligible_sessions,reason,status
46705815074361203,SUN1,P1_DURABLE_RANKED,common,Domestic Common Stock,86764P109 866762107,INFERRED_COMMON,0,0,171,152,1575,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
67573316626643986,BEAT1,P1_DURABLE_RANKED,common,Domestic Common Stock,090672106 14159L103,INFERRED_COMMON,0,0,170,56,311,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1001469623216439292,CNH1,P1_DURABLE_RANKED,common,ADR Common Stock,N20935206 N62648105 N20935107,INFERRED_COMMON,0,0,169,117,700,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1037451286237013475,DFODQ,P1_DURABLE_RANKED,common,Domestic Common Stock,242370203 242370104 865077101,INFERRED_COMMON,0,0,167,400,2857,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
727654521122872319,EP1,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,28336L109 283905107,INFERRED_COMMON,0,0,165,114,1484,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
899932545079148879,MRK,P1_DURABLE_RANKED,common,Domestic Common Stock,58933Y105 589331107,INFERRED_COMMON,0,0,162,190,5050,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
748865578216434536,NYX1,P1_DURABLE_RANKED,common,Domestic Common Stock,629491101 62949W103,INFERRED_COMMON,0,0,162,121,1809,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1035830090364021089,HQCL,P1_DURABLE_RANKED,common,ADR Common Stock,41135V103 41135V301 83415U108,INFERRED_COMMON,0,0,160,102,358,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
647967670841206151,SUNWQ,P1_DURABLE_RANKED,common,Domestic Common Stock,86803X204 86803X105 83417A209 83417A100 55448V204,INFERRED_COMMON,0,0,158,76,179,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
414649767280734725,TW2,P1_DURABLE_RANKED,common,Domestic Common Stock,891894107 942712100,INFERRED_COMMON,0,0,156,126,1209,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
