Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2013-04-19,SELL,HOV,,1082.0
2013-04-19,BUY,LUV,,458.0
2013-05-20,BUY,OHI,,131.0
2013-06-03,BUY,RDN,,40.0
2013-06-24,SELL,CVI,,68.0
2013-07-02,SELL,DK,,22.0
2013-07-24,BUY,NXST,,183.0
2013-07-25,BUY,CBOE,,114.0
2013-08-02,BUY,TW2,,2.0
2013-11-07,SELL,OHI,,131.0
2013-12-10,BUY,OA,,41.0
2014-03-12,SELL,NXST,,183.0
2014-04-08,SELL,PIRRQ,,299.0
2014-04-11,BUY,GLOG,,317.0
2014-04-14,SELL,BMRN,,127.0
2014-05-09,BUY,TRGP,,72.0
2014-05-15,BUY,HP,,45.0
2014-10-01,SELL,GLOG,,317.0
2014-10-14,SELL,HP,,45.0
2014-10-31,BUY,MDVN,,86.0
2014-11-06,SELL,OA,,41.0
2014-11-13,BUY,CNQR,,54.0
2014-12-02,SELL,TRGP,,72.0
2014-12-19,BUY,LOW,,142.0
2015-01-05,BUY,CBRL,,69.0
2015-01-14,BUY,TPST,,80.0
2015-02-05,BUY,BBWI,,106.0
2015-03-09,BUY,KR,,52.0
2015-04-01,SELL,TPST,,80.0
2015-05-04,BUY,COR,,27.0
2015-07-02,SELL,LUV,,458.0
2015-07-02,SELL,PAA,,130.0
2015-07-29,SELL,BBWI,,106.0
2015-08-04,BUY,ADPTQ,,87.0
2015-08-05,BUY,SKX,,64.0
2015-08-21,SELL,MDVN,,86.0
2015-08-27,SELL,KR,,104.0
2015-08-28,BUY,DXCM,,101.0
2015-09-23,BUY,PRE1,,66.0
2015-09-28,SELL,JAZZ,,161.0
2015-09-29,SELL,WHR,,35.0
2015-09-29,BUY,AX,,70.0
2015-10-01,SELL,ADPTQ,,87.0
2015-10-15,SELL,AX,,70.0
2015-10-15,SELL,DXCM,,101.0
2015-10-22,SELL,COR,,27.0
2015-10-26,SELL,SKX,,192.0
2015-10-28,BUY,UHAL,,22.0
2015-10-29,BUY,AIZ,,111.0
2015-11-02,BUY,ACGL,,121.0
2015-11-16,BUY,ATVI,,256.0
2015-11-17,BUY,DY,,106.0
2015-11-23,BUY,TYL,,48.0
2015-12-03,BUY,VRSN,,3.0
2015-12-17,SELL,RDN,,40.0
2016-01-05,SELL,PRGO,,27.0
2016-01-07,SELL,EV1,,131.0
2016-01-12,SELL,MCK,,54.0
2016-01-21,SELL,SBAC,,91.0
2016-01-21,SELL,DY,,106.0
2016-01-21,BUY,SWI1,,142.0
2016-02-02,SELL,ALXN,,110.0
2016-02-05,BUY,TAL,,173.0
2016-02-19,SELL,TYL,,48.0
2016-02-22,BUY,HPY,,89.0
2016-02-23,BUY,EDU,,265.0
2016-02-24,BUY,HRL,,192.0
2016-02-25,BUY,COR2,,129.0
2016-02-26,BUY,EDR1,,212.0
2016-03-04,BUY,HMIN,,117.0
2016-04-04,BUY,BRKR,,308.0
2016-04-18,BUY,QIHU,,64.0
2016-04-21,SELL,UHAL,,22.0
2016-04-22,SELL,AIZ,,111.0
2016-04-26,SELL,ACGL,,121.0
2016-05-09,BUY,CPB,,141.0
2016-05-17,BUY,AG,,788.0
2016-05-23,BUY,B,,500.0
