ticker,relatedtickers_raw,old_issuer_key,corrected_issuer_key
TPGY.WS,TPGY TPGY.U,TPGY TPGY.U|TPGY.WS,TPGY|TPGY.U|TPGY.WS
TPIY,TYNP TPI,TPIY|TYNP TPI,TPI|TPIY|TYNP
TPLQ,VNCI TLKP OCOM,TPLQ|VNCI TLKP OCOM,OCOM|TLKP|TPLQ|VNCI
TPOSQ,TPO TPOS TPOSE,TPO TPOS TPOSE|TPOSQ,TPO|TPOS|TPOSE|TPOSQ
TPPHQ,NPRO TPPH,NPRO TPPH|TPPHQ,NPRO|TPPH|TPPHQ
TPST,OVAS OVSC MLND,OVAS OVSC MLND|TPST,MLND|OVAS|OVSC|TPST
TPUTQ,TPUT TONS SHJ,TPUT TONS SHJ|TPUTQ,SHJ|TONS|TPUT|TPUTQ
TPVG,TPVZ TPVY,TPVG|TPVZ TPVY,TPVG|TPVY|TPVZ
TRAD1,TRAD OMGA,TRAD OMGA|TRAD1,OMGA|TRAD|TRAD1
TRAQ,TRAQ.U TRAQ.WS,TRAQ|TRAQ.U TRAQ.WS,TRAQ|TRAQ.U|TRAQ.WS
TRAQ.U,TRAQ.WS TRAQ,TRAQ.U|TRAQ.WS TRAQ,TRAQ|TRAQ.U|TRAQ.WS
TRAQ.WS,TRAQ.U TRAQ,TRAQ.U TRAQ|TRAQ.WS,TRAQ|TRAQ.U|TRAQ.WS
TRAW,ONTXW ONTX,ONTXW ONTX|TRAW,ONTX|ONTXW|TRAW
TRCA.U,TRCA.WS CREV CREVF TRCA CREVW,TRCA.U|TRCA.WS CREV CREVF TRCA CREVW,CREV|CREVF|CREVW|TRCA|TRCA.U|TRCA.WS
TRDFF,TRDR TRDRA,TRDFF|TRDR TRDRA,TRDFF|TRDR|TRDRA
TREB.U,SST.WS TREB TREB.WS SST,SST.WS TREB TREB.WS SST|TREB.U,SST|SST.WS|TREB|TREB.U|TREB.WS
TRI1,TRIH TRI,TRI1|TRIH TRI,TRI|TRI1|TRIH
TRIL1,SCTPF TRIL,SCTPF TRIL|TRIL1,SCTPF|TRIL|TRIL1
TRIN,TRINL TRINI TRNZ TRINZ TRNI,TRIN|TRINL TRINI TRNZ TRINZ TRNI,TRIN|TRINI|TRINL|TRINZ|TRNI|TRNZ
TRIN1,RTRSY TRIN,RTRSY TRIN|TRIN1,RTRSY|TRIN|TRIN1
TRIP1,AVGP TRIP,AVGP TRIP|TRIP1,AVGP|TRIP|TRIP1
TRIRF,TRIT NFINW TRITW NFIN NFINU,TRIRF|TRIT NFINW TRITW NFIN NFINU,NFIN|NFINU|NFINW|TRIRF|TRIT|TRITW
TRIS.U,TRIS HPAI,TRIS HPAI|TRIS.U,HPAI|TRIS|TRIS.U
TRITW,TRIT NFINW TRIRF NFIN NFINU,TRIT NFINW TRIRF NFIN NFINU|TRITW,NFIN|NFINU|NFINW|TRIRF|TRIT|TRITW
TRKAQ,TRKA ACOC TRKAW RMLX MTWO TRKWQ,TRKA ACOC TRKAW RMLX MTWO TRKWQ|TRKAQ,ACOC|MTWO|RMLX|TRKA|TRKAQ|TRKAW|TRKWQ
TRKWQ,TRKA ACOC TRKAW TRKAQ RMLX MTWO,TRKA ACOC TRKAW TRKAQ RMLX MTWO|TRKWQ,ACOC|MTWO|RMLX|TRKA|TRKAQ|TRKAW|TRKWQ
TRMPQ,DJTE TRMP,DJTE TRMP|TRMPQ,DJTE|TRMP|TRMPQ
TRON2,TRONU TRON TRONW,TRON2|TRONU TRON TRONW,TRON|TRON2|TRONU|TRONW
TRONU,TRON2 TRON TRONW,TRON2 TRON TRONW|TRONU,TRON|TRON2|TRONU|TRONW
TRONW,TRON2 TRONU TRON,TRON2 TRONU TRON|TRONW,TRON|TRON2|TRONU|TRONW
TROO,HMAUF SGOC HMAWF,HMAUF SGOC HMAWF|TROO,HMAUF|HMAWF|SGOC|TROO
TRQ,HUGO IVN,HUGO IVN|TRQ,HUGO|IVN|TRQ
TRTL1,TRTLU TRTL,TRTL1|TRTLU TRTL,TRTL|TRTL1|TRTLU
TRTLF,TRTUF TRTWF TRTL.U TRTL.WS TRTL,TRTLF|TRTUF TRTWF TRTL.U TRTL.WS TRTL,TRTL|TRTL.U|TRTL.WS|TRTLF|TRTUF|TRTWF
TRTN,TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN-PE,TRTN|TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN-PE,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PA,TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PF TRTN-PE TRTN,TRTN-PA|TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PF TRTN-PE TRTN,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PB,TRTN-PG TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN-PB|TRTN-PG TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PC,TRTN-PG TRTN-PB TRTN-PD TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN-PC|TRTN-PG TRTN-PB TRTN-PD TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PD,TRTN-PG TRTN-PB TRTN-PC TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN-PD|TRTN-PG TRTN-PB TRTN-PC TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PE,TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN,TRTN-PE|TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PF,TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PE TRTN,TRTN-PF|TRTN-PG TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PE TRTN,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTN-PG,TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN-PE TRTN,TRTN-PB TRTN-PC TRTN-PD TRTN-PA TRTN-PF TRTN-PE TRTN|TRTN-PG,TRTN|TRTN-PA|TRTN-PB|TRTN-PC|TRTN-PD|TRTN-PE|TRTN-PF|TRTN-PG
TRTUF,TRTLF TRTWF TRTL.U TRTL.WS TRTL,TRTLF TRTWF TRTL.U TRTL.WS TRTL|TRTUF,TRTL|TRTL.U|TRTL.WS|TRTLF|TRTUF|TRTWF
TRTWF,TRTUF TRTLF TRTL.U TRTL.WS TRTL,TRTUF TRTLF TRTL.U TRTL.WS TRTL|TRTWF,TRTL|TRTL.U|TRTL.WS|TRTLF|TRTUF|TRTWF
TRTX,TRTX-PC TRTXP,TRTX|TRTX-PC TRTXP,TRTX|TRTX-PC|TRTXP
TRTX-PC,TRTX TRTXP,TRTX TRTXP|TRTX-PC,TRTX|TRTX-PC|TRTXP
TRUE1,TRUE CFF,TRUE CFF|TRUE1,CFF|TRUE|TRUE1
TRUG,DMAQU DMAQ DMAQR,DMAQU DMAQ DMAQR|TRUG,DMAQ|DMAQR|DMAQU|TRUG
TRV,STA SPC,STA SPC|TRV,SPC|STA|TRV
TRX,TRE TRXAF,TRE TRXAF|TRX,TRE|TRX|TRXAF
TRXAQ,TROXA TRXBQ TRXB TROXB TRX,TROXA TRXBQ TRXB TROXB TRX|TRXAQ,TROXA|TROXB|TRX|TRXAQ|TRXB|TRXBQ
TRXBQ,TROXA TRXB TRXAQ TROXB TRX,TROXA TRXB TRXAQ TROXB TRX|TRXBQ,TROXA|TROXB|TRX|TRXAQ|TRXB|TRXBQ
TRY.B,TRY WEN,TRY WEN|TRY.B,TRY|TRY.B|WEN
TSC,TSCAP TSCBP,TSC|TSCAP TSCBP,TSC|TSCAP|TSCBP
TSCAP,TSC TSCBP,TSC TSCBP|TSCAP,TSC|TSCAP|TSCBP
TSCBP,TSCAP TSC,TSCAP TSC|TSCBP,TSC|TSCAP|TSCBP
TSCPQ,PTMC TSCP,PTMC TSCP|TSCPQ,PTMC|TSCP|TSCPQ
TSG,AYA AMYGF,AYA AMYGF|TSG,AMYGF|AYA|TSG
TSIAU,TSIA LTCH LTCHW TSIAW,TSIA LTCH LTCHW TSIAW|TSIAU,LTCH|LTCHW|TSIA|TSIAU|TSIAW
TSIB1,TSIBW TSIBU TSIB,TSIB1|TSIBW TSIBU TSIB,TSIB|TSIB1|TSIBU|TSIBW
TSIBU,TSIBW TSIB1 TSIB,TSIBU|TSIBW TSIB1 TSIB,TSIB|TSIB1|TSIBU|TSIBW
TSIBW,TSIBU TSIB1 TSIB,TSIBU TSIB1 TSIB|TSIBW,TSIB|TSIB1|TSIBU|TSIBW
TSPQ,TSPQ.WS TSPQ.U TSPQW,TSPQ|TSPQ.WS TSPQ.U TSPQW,TSPQ|TSPQ.U|TSPQ.WS|TSPQW
TSPQ.U,TSPQ.WS TSPQW TSPQ,TSPQ.U|TSPQ.WS TSPQW TSPQ,TSPQ|TSPQ.U|TSPQ.WS|TSPQW
TSPQW,TSPQ.WS TSPQ TSPQ.U,TSPQ.WS TSPQ TSPQ.U|TSPQW,TSPQ|TSPQ.U|TSPQ.WS|TSPQW
TSRE,FMLP FMP,FMLP FMP|TSRE,FMLP|FMP|TSRE
TSSI,FAACU FAAC FIGI,FAACU FAAC FIGI|TSSI,FAAC|FAACU|FIGI|TSSI
TSTRQ,MNCP TSTR,MNCP TSTR|TSTRQ,MNCP|TSTR|TSTRQ
TT2,TT ASD,TT ASD|TT2,ASD|TT|TT2
TTCFQ,FMCIU FMCIW FMCI TTCFW TTCF,FMCIU FMCIW FMCI TTCFW TTCF|TTCFQ,FMCI|FMCIU|FMCIW|TTCF|TTCFQ|TTCFW
TTCFW,TTCFQ FMCIU FMCIW FMCI TTCF,TTCFQ FMCIU FMCIW FMCI TTCF|TTCFW,FMCI|FMCIU|FMCIW|TTCF|TTCFQ|TTCFW
TTCMY,VSL TCL,TTCMY|VSL TCL,TCL|TTCMY|VSL
TUGCU,SAI SAIH TUGC,SAI SAIH TUGC|TUGCU,SAI|SAIH|TUGC|TUGCU
TULP,ISIG LDWY,ISIG LDWY|TULP,ISIG|LDWY|TULP
TVACU1,TVAC TVACU ISPO TVACW ISPOW,TVAC TVACU ISPO TVACW ISPOW|TVACU1,ISPO|ISPOW|TVAC|TVACU|TVACU1|TVACW
TVGN,LGST LGSTU,LGST LGSTU|TVGN,LGST|LGSTU|TVGN
TVIAQ,SZYM TVIA,SZYM TVIA|TVIAQ,SZYM|TVIA|TVIAQ
TVIAQ1,TVIA TVIAQ,TVIA TVIAQ|TVIAQ1,TVIA|TVIAQ|TVIAQ1
TVLYQ,TIV TVLY,TIV TVLY|TVLYQ,TIV|TVLY|TVLYQ
TVTX,RTRX DGTE,RTRX DGTE|TVTX,DGTE|RTRX|TVTX
TVTY,HWAY AMHC,HWAY AMHC|TVTY,AMHC|HWAY|TVTY
TW2,WW TW,TW2|WW TW,TW|TW2|WW
TWAV,GLOW OBLG,GLOW OBLG|TWAV,GLOW|OBLG|TWAV
TWCB,TWCBW TWCBU,TWCB|TWCBW TWCBU,TWCB|TWCBU|TWCBW
TWCBU,TWCBW TWCB,TWCBU|TWCBW TWCB,TWCB|TWCBU|TWCBW
TWCBW,TWCB TWCBU,TWCB TWCBU|TWCBW,TWCB|TWCBU|TWCBW
