date,nav_terminal_corrected,allocation_terminal_corrected,parent_allocation_terminal_corrected,shadow_equity_terminal_corrected,open_shadow_equity_terminal_corrected,shadow_dd_terminal_corrected,damaged_terminal_corrected,green_terminal_corrected,r20_terminal_corrected,r40_terminal_corrected,stops20_terminal_corrected,stress_duration_terminal_corrected,nav_issuer_corrected,allocation_issuer_corrected,parent_allocation_issuer_corrected,shadow_equity_issuer_corrected,open_shadow_equity_issuer_corrected,shadow_dd_issuer_corrected,damaged_issuer_corrected,green_issuer_corrected,r20_issuer_corrected,r40_issuer_corrected,stops20_issuer_corrected,stress_duration_issuer_corrected,nav_delta,shadow_equity_delta,allocation_delta,parent_allocation_delta,damaged_delta,green_delta
2026-02-27,45.24669426451343,1.0,1.0,14507442116.941174,14466989890.486172,-0.0102530161426577,0.28,0.6,0.1243911815564471,0.2914757678354016,0,0,45.24728683904157,1.0,1.0,14507632114.040558,14467178554.145555,-0.0102526121702725,0.24,0.64,0.1244131960122838,0.2914973487996757,0,0,0.0005925745281416539,189997.09938430786,0.0,0.0,-0.040000000000000036,0.040000000000000036
2026-03-02,45.43206040891762,1.0,1.0,14566876041.43217,14544513565.781172,-0.0061982319133222,0.3333333333333333,0.625,0.1477878455156729,0.3076779156240878,1,0,45.43260893502447,1.0,1.0,14567051915.291555,14544716560.630556,-0.0061988429120473,0.2916666666666667,0.6666666666666666,0.147810334486595,0.3076979901348118,1,0,0.0005485261068471914,175873.85938453674,0.0,0.0,-0.04166666666666663,0.04166666666666663
2026-03-03,43.769713231999,1.0,1.0,14033877866.882174,14144783547.693174,-0.0425611780074719,0.4166666666666667,0.5416666666666666,0.0727958740692342,0.2248947670627534,1,0,43.77025837030555,1.0,1.0,14034052654.51156,14144953844.252558,-0.0425614017311137,0.375,0.5833333333333334,0.0728173046600531,0.2249136855038775,1,0,0.00054513830654912,174787.62938690186,0.0,0.0,-0.041666666666666685,0.04166666666666674
2026-03-04,44.51462733920644,1.0,1.0,14272719587.102177,14242409246.487171,-0.026266584494602,0.375,0.5416666666666666,0.0666044672785888,0.2504563301098315,1,0,44.51533658395912,1.0,1.0,14272946992.161562,14242603822.546558,-0.0262634252730831,0.3333333333333333,0.5833333333333334,0.0666285140197759,0.2504824833331123,1,0,0.0007092447526773071,227405.05938529968,0.0,0.0,-0.041666666666666685,0.04166666666666674
2026-03-05,43.39421948486447,1.0,1.0,13913483352.092176,14041660715.312172,-0.050774900793739,0.4583333333333333,0.4166666666666667,0.0885583819343522,0.1702830559712116,1,0,43.39496384892676,1.0,1.0,13913722017.45156,14041882143.791555,-0.050770662399556,0.4166666666666667,0.4583333333333333,0.0885841496545356,0.1703072961021321,1,0,0.0007443640622852854,238665.3593826294,0.0,0.0,-0.04166666666666663,0.04166666666666663
2026-03-06,42.46611565499713,1.0,1.0,13615905533.22217,13657634889.438171,-0.0710766704865161,0.4583333333333333,0.4166666666666667,0.0569378372040605,0.1504950786813241,1,0,42.46678605159245,1.0,1.0,13616120482.401556,13657868257.977556,-0.0710737924771922,0.4166666666666667,0.4583333333333333,0.0569623190738322,0.1505179207058971,1,0,0.0006703965953178681,214949.17938613892,0.0,0.0,-0.04166666666666663,0.04166666666666663
2026-03-09,43.99856992199149,1.0,1.0,14107256159.75217,13526108380.012177,-0.0375550615974763,0.4583333333333333,0.375,0.0588374479678919,0.2232773166572073,1,0,43.999255904626416,1.0,1.0,14107476106.281555,13526329323.581558,-0.0375522679852652,0.4166666666666667,0.4166666666666667,0.0588485101538076,0.2233029792036147,1,0,0.0006859826349270293,219946.52938461304,0.0,0.0,-0.04166666666666663,0.041666666666666685
2026-03-10,44.54923970545611,1.0,1.0,14283817345.912174,14160122039.582176,-0.0255094576888402,0.4583333333333333,0.4583333333333333,0.0602628150624162,0.2147087448031877,1,0,44.54993728211343,1.0,1.0,14284041009.831558,14160333763.411562,-0.0255065633039415,0.4166666666666667,0.5,0.0602697845250799,0.2147342751654828,1,0,0.0006975766573233955,223663.9193840027,0.0,0.0,-0.04166666666666663,0.041666666666666685
2026-03-11,44.72668576229013,1.0,1.0,14340711853.682167,14163736337.522177,-0.0216279210947606,0.4583333333333333,0.5,0.0803371918608975,0.1993755617061241,1,0,44.72736008422142,1.0,1.0,14340928061.441557,14163954641.65156,-0.0216255846376959,0.4166666666666667,0.5416666666666666,0.0803432682006044,0.1994001526645583,1,0,0.0006743219312852489,216207.75938987732,0.0,0.0,-0.04166666666666663,0.04166666666666663
2026-03-12,43.61749058325714,1.0,1.0,13985070737.402172,14189702362.405172,-0.0458909661813056,0.4583333333333333,0.375,0.0325385088916989,0.15664544058961,1,0,43.618101912712326,1.0,1.0,13985266747.891556,14189912000.554558,-0.0458896997786858,0.4166666666666667,0.4166666666666667,0.0325433995487189,0.1566649630122187,1,0,0.000611329455189491,196010.4893836975,0.0,0.0,-0.04166666666666663,0.041666666666666685
2026-03-13,43.684468075381496,1.0,1.0,14006545722.612177,14115306224.132172,-0.0444258697384832,0.5416666666666666,0.3333333333333333,0.0309366437205313,0.1592389422144258,1,0,43.68504112752444,1.0,1.0,14006729460.25156,14115504309.621555,-0.0444254592101993,0.5,0.375,0.03094041220869,0.1592563450198723,1,0,0.0005730521429470059,183737.63938331604,0.0,0.0,-0.04166666666666663,0.041666666666666685
2026-03-16,44.69062451762922,1.0,1.0,14329149541.162174,14270580152.602173,-0.0224167413327346,0.4166666666666667,0.5416666666666666,0.0436322892824252,0.1672255549814405,1,0,44.69119567207007,1.0,1.0,14329332670.34156,14270772039.266558,-0.0224166515714223,0.375,0.5833333333333334,0.0436359967439139,0.1672434898848984,1,0,0.0005711544408555369,183129.17938613892,0.0,0.0,-0.041666666666666685,0.04166666666666674
2026-03-17,45.74617828519405,1.0,1.0,14667591618.162172,14406795411.51217,0.0,0.3333333333333333,0.5416666666666666,0.06730146889387,0.1979468298462134,1,0,45.74671361982911,1.0,1.0,14667763262.441557,14406975700.361555,0.0,0.3333333333333333,0.5833333333333334,0.0673019343968315,0.1979638534613483,1,0,0.0005353346350602806,171644.27938461304,0.0,0.0,0.0,0.04166666666666674
