date,nav,allocation,persistent_bear,base_allocation,shadow_nav,r20,r40,positive_day_share20,damaged,green,holdings,fund_n,fund_health,fund_weak_share,fund_strong_share,fund_coverage,stress_duration,stress_episode_return,oracle20,oracle40,oracle60,regret100_20,regret100_40,regret100_60
1998-10-08,0.93126415126897,0.0,False,0.0,0.7555154286462475,-0.1004832509100194,-0.2239289948698167,0.4,0.6666666666666666,0.3333333333333333,16,9,0.6190476190476191,0.3333333333333333,0.4444444444444444,0.5625,47,-0.1903431515520868,2,2,2,0.0,0.0,0.0
1998-10-09,0.93126415126897,0.0,False,0.0,0.7751519207737677,-0.0874609312997408,-0.1932985817911632,0.4,0.5714285714285714,0.4285714285714285,15,10,0.5857142857142856,0.4,0.4,0.6666666666666666,48,-0.1692994776207308,2,2,2,0.0,0.0,0.0
1998-10-12,0.93126415126897,0.0,False,0.0,0.7875674062856075,-0.0859936148770237,-0.1771702421926004,0.4,0.4,0.4666666666666667,16,10,0.5857142857142856,0.4,0.4,0.625,49,-0.155994278957245,2,2,2,0.0,0.0,0.0
1998-10-13,0.93126415126897,0.0,False,0.0,0.7820500930681075,-0.0923712492166235,-0.1931169402807667,0.4,0.5,0.4375,17,10,0.5857142857142856,0.4,0.4,0.5882352941176471,50,-0.1619069714876748,2,2,2,0.0,0.0,0.0
1998-10-14,0.93126415126897,0.0,False,0.0,0.7920143027636076,-0.0844793943494228,-0.1920688510805407,0.4,0.4705882352941176,0.5294117647058824,18,11,0.6103896103896104,0.36363636363636365,0.45454545454545453,0.6111111111111112,51,-0.1512287109076248,2,2,2,0.0,0.0,0.0
1998-10-15,0.93126415126897,0.0,False,0.0,0.8119918823736074,-0.0445774588651338,-0.1727000529071988,0.45,0.3529411764705882,0.5294117647058824,18,11,0.6103896103896104,0.36363636363636365,0.45454545454545453,0.6111111111111112,52,-0.1298195066301788,2,2,2,0.0,0.0,0.0
1998-10-16,0.93126415126897,0.0,False,0.0,0.8087737233036075,-0.0466912493623463,-0.1750716445081312,0.45,0.2941176470588235,0.5882352941176471,18,11,0.6103896103896104,0.36363636363636365,0.45454545454545453,0.6111111111111112,53,-0.1332682840232347,2,2,2,0.0,0.0,0.0
1998-10-19,0.93126415126897,0.0,False,0.0,0.8121312360936077,-0.0404556378375577,-0.1572921414152787,0.5,0.4117647058823529,0.4117647058823529,18,11,0.6103896103896104,0.36363636363636365,0.45454545454545453,0.6111111111111112,54,-0.129670166604182,2,2,2,0.0,0.0,0.0
1998-10-20,0.93126415126897,0.0,False,0.0,0.8023527677336076,-0.0554422688937976,-0.1702781694228606,0.45,0.6470588235294118,0.3529411764705882,18,11,0.6103896103896104,0.36363636363636365,0.45454545454545453,0.6111111111111112,55,-0.1401493753335015,2,2,2,0.0,0.0,0.0
1998-10-21,0.93126415126897,0.0,False,0.0,0.8032336697636075,-0.0792349055677706,-0.1744687485626422,0.45,0.5294117647058824,0.3529411764705882,18,11,0.6103896103896104,0.36363636363636365,0.45454545454545453,0.6111111111111112,56,-0.1392053464833177,2,2,2,0.0,0.0,0.0
