Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2022-01-20,BUY,VCRA,,266.8770506718922
2022-01-21,SELL,LOB,,391.6096969095068
2022-02-14,BUY,ERF,,1761.1102293683593
2022-02-15,BUY,CVE,,1362.3077570315622
2022-02-17,BUY,VET,,1226.3173187956525
2022-02-22,BUY,CVX,,152.3249334648549
2022-02-23,BUY,CNQ,,88.29589083617769
2022-03-08,SELL,WST,,36.53959683051651
2022-03-08,SELL,TPR,,508.5618774237705
2022-03-09,SELL,DPZ,,46.70681384760605
2022-03-16,BUY,ABBV,,137.3967504971659
2022-04-07,BUY,MCK,,70.02931333456854
2022-04-08,BUY,MDRX,,969.6705396727638
2022-04-11,BUY,PCRX,,63.03294355568657
2022-04-12,SELL,ACLS,,315.3804870984229
2022-04-13,BUY,FMC,,133.58298929045418
2022-04-25,SELL,FRHC,,407.16007861641054
2022-05-13,BUY,AMR,,129.03072681481288
2022-05-19,SELL,DAC,,382.07681055645776
2022-05-20,SELL,COST,,42.00000333654526
2022-05-25,SELL,BLDR,,279.0324357467152
2022-05-25,BUY,BMY,,268.21527151110274
2022-06-07,SELL,FDS,,49.84285928487595
2022-06-14,SELL,LSI,,188.98404185386173
2022-06-14,SELL,MDRX,,969.6705396727638
2022-06-15,SELL,PCRX,,63.03294355568657
2022-06-22,BUY,STNG,,555.4075272568938
2022-06-23,SELL,DEN,,413.43348557847867
2022-06-23,SELL,ATKR,,269.99704523005886
2022-06-23,BUY,PBF,,562.7907887343922
2022-06-24,SELL,ERF,,1761.1102293683593
2022-06-24,SELL,VET,,1226.3173187956525
2022-06-28,BUY,MRK,,208.69318433226402
2022-06-30,SELL,WIRE,,166.31937100895533
2022-07-01,SELL,CHRD,,248.79909694969456
2022-07-05,SELL,AMR,,129.03072681481288
2022-07-05,SELL,ON,,330.38194995002885
2022-07-07,SELL,CVE,,1362.3077570315622
2022-07-11,BUY,HRB,,510.75113917933476
2022-07-13,SELL,CNQ,,88.29589083617769
