date,0bp_control_allocation,10bp_control_allocation,0bp_control_reason,10bp_control_reason,0bp_wc_dd,10bp_wc_dd,0bp_control_nav,10bp_control_nav
2020-05-12,1.0,0.65,NORMAL,NORMAL,-0.1773592429040054,-0.15461679371008774,5.509401407103376,6.789926002679541
2020-05-13,1.0,0.65,NORMAL,NORMAL,-0.17107491175851242,-0.14519517496191703,5.551488919248903,6.839112999620357
2020-05-14,1.0,0.65,NORMAL,FULL_RISK_HELD,-0.180646913554124,-0.15513467950172943,5.48738317235192,6.787671529658567
2020-05-15,1.0,0.65,NORMAL,FULL_RISK_HELD,-0.1757716614247583,-0.1512706538336459,5.520033780420901,6.807355624463462
2020-05-18,1.0,0.65,NORMAL,FULL_RISK_HELD,-0.17590890024436456,-0.15434842801331228,5.519114662641571,6.79130990004752
2020-05-19,1.0,0.65,NORMAL,FULL_RISK_CERTIFIED_PERSISTENCE,-0.17350378451914483,-0.1506746863613173,5.535222237967098,6.8104870496805745
2021-12-16,0.55,1.0,NORMAL,NORMAL,-0.11032024027654586,-0.09195964018741098,9.964544077647107,12.357319465602085
2021-12-17,0.55,1.0,NORMAL,NORMAL,-0.1156641196190541,-0.09750939665332425,9.932150822895553,12.281794063163217
2021-12-20,0.55,1.0,NORMAL,NORMAL,-0.12766281813087965,-0.10853006156165623,9.857509255291022,12.131816283515057
2021-12-21,0.55,1.0,NORMAL,NORMAL,-0.11034235103567103,-0.09308901420172377,9.964694969753301,12.341950065618708
2021-12-22,0.55,1.0,NORMAL,NORMAL,-0.10351240835920239,-0.08686443532490395,10.0067696515493,12.426658976283841
2021-12-23,0.55,1.0,NORMAL,NORMAL,-0.09827423575622818,-0.08154205826129113,10.03892787985829,12.499090022966648
2021-12-27,0.55,1.0,NORMAL,NORMAL,-0.07639495503362337,-0.059973179043462665,10.173368820845287,12.792616107054696
2021-12-28,0.55,1.0,NORMAL,NORMAL,-0.08276965213003484,-0.06624517511654227,10.13427296979441,12.707261906303044
2021-12-29,0.55,1.0,NORMAL,NORMAL,-0.07799667101442598,-0.06105905674564349,10.1632775502574,12.777838638717066
2021-12-30,0.55,1.0,NORMAL,NORMAL,-0.08273211891970467,-0.06562416126179493,10.135044541821392,12.715713145846253
2021-12-31,0.55,1.0,NORMAL,NORMAL,-0.0779395607333826,-0.060629496793912385,10.164169114292784,12.783684424640352
2022-01-03,0.55,1.0,NORMAL,NORMAL,-0.08490685171582368,-0.06850676020766655,10.121451188330186,12.676484497383209
2022-01-04,0.55,1.0,NORMAL,NORMAL,-0.08736728675817484,-0.0733515169070299,10.10695808401065,12.610553280097333
2022-01-05,0.55,1.0,NORMAL,NORMAL,-0.11883287988025204,-0.1055507887866981,9.915301808284969,12.172360544634605
2022-01-06,0.55,1.0,NORMAL,NORMAL,-0.11394314220077661,-0.10157598134524914,9.945563688309287,12.22645281579574
2022-01-07,0.55,1.0,NORMAL,NORMAL,-0.1381764463887043,-0.12486169203942554,9.795959712636881,11.909562753672386
2022-01-10,0.55,1.0,NORMAL,NORMAL,-0.1501420181048292,-0.13596920612504126,9.720696535084931,11.758403062870803
2022-01-11,0.55,1.0,NORMAL,NORMAL,-0.13651234816649738,-0.12266884992896299,9.80598390526933,11.93940465464494
2022-01-12,0.55,1.0,NORMAL,NORMAL,-0.13181487411301207,-0.11877859970082427,9.835783792651823,11.992346205481033
2022-01-13,0.55,1.0,NORMAL,NORMAL,-0.14946021847913737,-0.1361890731133527,9.726296354624484,11.755410941887254
2022-01-14,0.55,1.0,NORMAL,NORMAL,-0.15275925390101808,-0.14069247948942987,9.705547098337926,11.69412508529372
2022-01-18,0.55,1.0,NORMAL,NORMAL,-0.17465883642364544,-0.16069341486825994,9.56665861005549,11.42193680047114
2022-01-19,0.55,1.0,NORMAL,NORMAL,-0.18507797692537897,-0.17006882260552536,9.501132232585748,11.294348960043456
